hanzi,pinyin,meaning
一条道走到黑,[yi1 tiao2 dao4 zou3 dao4 hei1],to stick to one's ways
一条龙,[yi1 tiao2 long2],lit. one dragon
一条龙服务,[yi1 tiao2 long2 fu2 wu4],one-stop service
一概,[yi1 gai4],all
一概而论,[yi1 gai4 er2 lun4],to lump different matters together (idiom)
一槌定音,[yi1 chui2 ding4 yin1],variant of 一錘定音|一锤定音[yi1 chui2 ding4 yin1]
一模一样,[yi1 mu2 yi1 yang4],exactly the same (idiom)
一样,[yi1 yang4],same
一次,[yi1 ci4],first
一次函数,[yi1 ci4 han2 shu4],linear function (math.)
一次又一次,[yi1 ci4 you4 yi1 ci4],repeatedly
一次性,[yi1 ci4 xing4],one-off (offer)
一次方程,[yi1 ci4 fang1 cheng2],linear equation
一次方程式,[yi1 ci4 fang1 cheng2 shi4],linear equation (math.)
一次生，两次熟,[yi1 ci4 sheng1 , liang3 ci4 shu2],unfamiliar at first but you get used to it
一次总付,[yi1 ci4 zong3 fu4],lump-sum (finance)
一步一个脚印,[yi1 bu4 yi1 ge4 jiao3 yin4],one step, one footprint (idiom); steady progress
一步一趋,[yi1 bu4 yi1 qu1],see 亦步亦趨|亦步亦趋[yi4 bu4 yi4 qu1]
一步到位,[yi1 bu4 dao4 wei4],to settle a matter in one go
一步登天,[yi1 bu4 deng1 tian1],reaching heaven in a single bound (idiom); (esp. with negative: don't expect) instant success
一毛不拔,[yi1 mao2 bu4 ba2],stingy (idiom)
一气,[yi1 qi4],at one go
一气之下,[yi1 qi4 zhi1 xia4],in a fit of pique
一气呵成,[yi1 qi4 he1 cheng2],to do something at one go
一氧化二氮,[yi1 yang3 hua4 er4 dan4],nitrous oxide N2O
一氧化氮,[yi1 yang3 hua4 dan4],nitric oxide
一氧化碳,[yi1 yang3 hua4 tan4],carbon monoxide CO
一水儿,[yi1 shui3 r5],(coll.) of the same type
一决雌雄,[yi1 jue2 ci2 xiong2],to have a show-down
一波三折,[yi1 bo1 san1 zhe2],calligraphic flourish with many twists
一波未平，一波又起,[yi1 bo1 wei4 ping2 , yi1 bo1 you4 qi3],before the first wave subsides, a new wave rises (idiom); a new problem arises before the old is solved
一派胡言,[yi1 pai4 hu2 yan2],a bunch of nonsense
一派谎言,[yi1 pai4 huang3 yan2],a pack of lies
一流,[yi1 liu2],top quality
一清二楚,[yi1 qing1 er4 chu3],to be very clear about sth (idiom)
一清二白,[yi1 qing1 er4 bai2],perfectly clean
一清如水,[yi1 qing1 ru2 shui3],lit. as clear as water (idiom)
一清早,[yi1 qing1 zao3],early in the morning
一准,[yi1 zhun3],certainly
一溜烟,[yi1 liu4 yan1],like a wisp of smoke
一潭死水,[yi1 tan2 si3 shui3],a pool of stagnant water
一炮打响,[yi1 pao4 da3 xiang3],to win instant success (idiom)
一炮而红,[yi1 pao4 er2 hong2],to win instant success (idiom)
一无所动,[yi1 wu2 suo3 dong4],totally unaffected
一无所有,[yi1 wu2 suo3 you3],not having anything at all (idiom); utterly lacking
一无所获,[yi1 wu2 suo3 huo4],to gain nothing
一无所知,[yi1 wu2 suo3 zhi1],not knowing anything at all (idiom); completely ignorant
一无所闻,[yi1 wu2 suo3 wen2],unheard of
一无所长,[yi1 wu2 suo3 chang2],not having any special skill
一无是处,[yi1 wu2 shi4 chu4],not one good point
一物降一物,[yi1 wu4 xiang2 yi1 wu4],lit. one object bests another object
一犯再犯,[yi1 fan4 zai4 fan4],to keep doing (the wrong thing)
一琴一鹤,[yi1 qin2 yi1 he4],carrying very little luggage (idiom)
一生,[yi1 sheng1],all one's life
一生一世,[yi1 sheng1 yi1 shi4],a whole lifetime (idiom); all my life
一甲,[yi1 jia3],1st rank or top three candidates who passed the imperial examination (i.e. 狀元|状元[zhuang4 yuan2], 榜眼[bang3 yan3], and 探花[tan4 hua1], respectively)
一甲子,[yi1 jia3 zi3],sixty years
一病不起,[yi1 bing4 bu4 qi3],to fall gravely ill, never to recover (idiom)
一瘸一拐,[yi1 que2 yi1 guai3],to limp
一发不可收拾,[yi1 fa1 bu4 ke3 shou1 shi5],things that have happened can hardly be controlled
一百一,[yi1 bai3 yi1],faultless
一盘散沙,[yi1 pan2 san3 sha1],lit. like a sheet of loose sand
一目了然,[yi1 mu4 liao3 ran2],obvious at a glance (idiom)
一目十行,[yi1 mu4 shi2 hang2],ten lines at a glance (idiom)
一目了然,[yi1 mu4 liao3 ran2],obvious at a glance (idiom)
一直,[yi1 zhi2],straight (in a straight line)
一直以来,[yi1 zhi2 yi3 lai2],in the past always
一直往前,[yi1 zhi2 wang3 qian2],straight ahead
一相情愿,[yi1 xiang1 qing2 yuan4],one's own wishful thinking
一眨眼,[yi1 zha3 yan3],in a wink
一眼,[yi1 yan3],a glance
一眼望去,[yi1 yan3 wang4 qu4],as far as the eye can see
一眼看穿,[yi1 yan3 kan4 chuan1],to see through something at first glance (idiom)
一睹,[yi1 du3],to look
一瞥,[yi1 pie1],glance
一瞬,[yi1 shun4],one instant
一瞬间,[yi1 shun4 jian1],split second
一矢中的,[yi1 shi3 zhong4 di4],to hit the target with a single shot
一知半解,[yi1 zhi1 ban4 jie3],lit. to know one and understand half (idiom); a smattering of knowledge
一石二鸟,[yi1 shi2 er4 niao3],to kill two birds with one stone (idiom)
一神教,[yi1 shen2 jiao4],monotheism (belief in a single God)
一神论,[yi1 shen2 lun4],monotheism
一秉虔诚,[yi1 bing3 qian2 cheng2],earnestly and sincerely (idiom); devoutly
一秘,[yi1 mi4],first secretary
一种,[yi1 zhong3],one kind of
一空,[yi1 kong1],leaving none left
一窝蜂,[yi1 wo1 feng1],like a swarm of bees
一穷二白,[yi1 qiong2 er4 bai2],impoverished
一窥端倪,[yi1 kui1 duan1 ni2],to infer easily
一窍不通,[yi1 qiao4 bu4 tong1],lit. doesn't (even) enter a single aperture (of one's head)
一笑了之,[yi1 xiao4 liao3 zhi1],to laugh away (instead of taking seriously)
一笑置之,[yi1 xiao4 zhi4 zhi1],to dismiss with a laugh
一笔不苟,[yi1 bi3 bu4 gou3],lit. not even one stroke is negligent (idiom)
一笔勾销,[yi1 bi3 gou1 xiao1],to write off at one stroke
一笔抹杀,[yi1 bi3 mo3 sha1],to blot out at one stroke
一笔抹煞,[yi1 bi3 mo3 sha1],variant of 一筆抹殺|一笔抹杀[yi1 bi3 mo3 sha1]
一等,[yi1 deng3],first class
一等奖,[yi1 deng3 jiang3],first prize
一箭之仇,[yi1 jian4 zhi1 chou2],a wrong suffered (idiom)
一箭双雕,[yi1 jian4 shuang1 diao1],lit. one arrow, two golden eagles (idiom)
一节诗,[yi1 jie2 shi1],stanza
一筹莫展,[yi1 chou2 mo4 zhan3],to be unable to find a solution
一箩筐,[yi1 luo2 kuang1],bucketloads of
一粒老鼠屎坏了一锅粥,[yi1 li4 lao3 shu3 shi3 huai4 le5 yi1 guo1 zhou1],lit. a piece of rat feces spoiled the whole pot of congee (idiom)
一系列,[yi1 xi4 lie4],a series of
一纸空文,[yi1 zhi3 kong1 wen2],a worthless piece of paper (idiom)
一级,[yi1 ji2],first class
一级士官,[yi1 ji2 shi4 guan1],corporal (army)
一级方程式,[Yi1 ji2 Fang1 cheng2 shi4],Formula One
一级棒,[yi1 ji2 bang4],first-rate
一级头,[yi1 ji2 tou2],first stage (diving)
一统,[yi1 tong3],to unify
一丝一毫,[yi1 si1 yi1 hao2],one thread, one hair (idiom); a tiny bit
一丝不挂,[yi1 si1 bu4 gua4],not wearing one thread (idiom); absolutely naked
一丝不苟,[yi1 si1 bu4 gou3],not one thread loose (idiom); strictly according to the rules
一维,[yi1 wei2],one-dimensional (math.)
一网打尽,[yi1 wang3 da3 jin4],lit. to catch everything in the one net (idiom)
一线,[yi1 xian4],front line
一线之间,[yi1 xian4 zhi1 jian1],a hair's breadth apart
一线之隔,[yi1 xian4 zhi1 ge2],a fine line
一线希望,[yi1 xian4 xi1 wang4],a gleam of hope
一线微光,[yi1 xian4 wei1 guang1],gleam
一总,[yi1 zong3],altogether
一而再，再而三,[yi1 er2 zai4 , zai4 er2 san1],again and again
一声,[yi1 sheng1],first tone in Mandarin (high level tone)
一声不吭,[yi1 sheng1 bu4 keng1],to not say a word
一声不响,[yi1 sheng1 bu4 xiang3],to keep totally silent
一肚子,[yi1 du4 zi5],bellyful (of sth)
一肚皮,[yi1 du4 pi2],bellyful (of sth)
一股子,[yi1 gu3 zi5],a whiff of
一股脑,[yi1 gu3 nao3],all of it
一股脑儿,[yi1 gu3 nao3 r5],erhua variant of 一股腦|一股脑[yi1 gu3 nao3]
一胎制,[yi1 tai1 zhi4],the one-child policy
一胎化,[yi1 tai1 hua4],practice of allowing only one child per family
一脉相承,[yi1 mai4 xiang1 cheng2],traceable to the same stock (idiom); of a common origin (of trends, ideas etc)
一腔,[yi1 qiang1],full of (zeal, anger etc)
一臂之力,[yi1 bi4 zhi1 li4],(lend) a helping hand
一脸茫然,[yi1 lian3 mang2 ran2],puzzled
一致,[yi1 zhi4],unanimous
一致字,[yi1 zhi4 zi4],consistent phonogram(s)
一致性,[yi1 zhi4 xing4],consistency
一致性效应,[yi1 zhi4 xing4 xiao4 ying4],consistency effect
一致资源定址器,[yi1 zhi4 zi1 yuan2 ding4 zhi3 qi4],uniform resource locator (URL), i.e. web address
一举,[yi1 ju3],a move
一举一动,[yi1 ju3 yi1 dong4],every movement
一举两得,[yi1 ju3 liang3 de2],one move, two gains (idiom); two birds with one stone
一举成功,[yi1 ju3 cheng2 gong1],success at one go
一举手一投足,[yi1 ju3 shou3 yi1 tou2 zu2],every little move
一般,[yi1 ban1],same
一般人,[yi1 ban1 ren2],average person
一般来说,[yi1 ban1 lai2 shuo1],generally speaking
一般来讲,[yi1 ban1 lai2 jiang3],generally speaking
一般原则,[yi1 ban1 yuan2 ze2],general principle
一般性,[yi1 ban1 xing4],general
一般而言,[yi1 ban1 er2 yan2],generally speaking
一般见识,[yi1 ban1 jian4 shi5],to lower oneself to sb's level
一般规定,[yi1 ban1 gui1 ding4],ordinary provision (law)
一般说来,[yi1 ban1 shuo1 lai2],generally speaking
一般贸易,[yi1 ban1 mao4 yi4],general trade (i.e. importing and export without processing)
一落千丈,[yi1 luo4 qian1 zhang4],lit. to drop a thousand zhang in one fall (idiom)
一叶知秋,[yi1 ye4 zhi1 qiu1],lit. the falling of one leaf heralds the coming of autumn (idiom)
一叶障目,[yi1 ye4 zhang4 mu4],lit. eyes obscured by a single leaf (idiom)
一着不慎，满盘皆输,[yi1 zhao1 bu4 shen4 , man3 pan2 jie1 shu1],One careless move and the whole game is lost. (idiom)
一号,[yi1 hao4],first day of the month
一号木杆,[yi1 hao4 mu4 gan1],driver (golf)
一号电池,[yi1 hao4 dian4 chi2],D size battery
一行,[yi1 xing2],party
一衣带水,[yi1 yi1 dai4 shui3],(separated only by) a narrow strip of water
一见倾心,[yi1 jian4 qing1 xin1],love at first sight
一见如故,[yi1 jian4 ru2 gu4],familiarity at first sight
一见钟情,[yi1 jian4 zhong1 qing2],love at first sight (idiom)
一见高低,[yi1 jian4 gao1 di1],lit. to fight it out with sb to see who is best (idiom)
一视同仁,[yi1 shi4 tong2 ren2],to treat everyone equally favorably (idiom); not to discriminate between people
一亲芳泽,[yi1 qin1 fang1 ze2],to get close to
一觉醒来,[yi1 jiao4 xing3 lai2],to wake up from a sleep
一览,[yi1 lan3],an overview
一览无遗,[yi1 lan3 wu2 yi2],be plainly visible
一览无余,[yi1 lan3 wu2 yu2],to cover all at one glance (idiom)
一角银币,[yi1 jiao3 yin2 bi4],dime
一触即溃,[yi1 chu4 ji2 kui4],to collapse on the first encounter
一触即发,[yi1 chu4 ji2 fa1],could happen at any moment
一言,[yi1 yan2],one sentence
一言一动,[yi1 yan2 yi1 dong4],(one's) every word and deed (idiom)
一言一行,[yi1 yan2 yi1 xing2],every word and action (idiom)
一言不发,[yi1 yan2 bu4 fa1],to not say a word (idiom)
一言九鼎,[yi1 yan2 jiu3 ding3],one word worth nine sacred tripods (idiom); words of enormous weight
一言以蔽之,[yi1 yan2 yi3 bi4 zhi1],one word says it all (idiom, from Analects); to cut a long story short
一言千金,[yi1 yan2 qian1 jin1],one word worth a thousand in gold (idiom); valuable advice
一言抄百总,[yi1 yan2 chao1 bai3 zong3],to cut a long story short
一言既出，驷马难追,[yi1 yan2 ji4 chu1 , si4 ma3 nan2 zhui1],lit. once said, a team of horses cannot unsay it (idiom); a promise must be kept
一言为定,[yi1 yan2 wei2 ding4],one word and it's settled (idiom); It's a deal!
一言为重,[yi1 yan2 wei2 zhong4],each word carries weight
一言难尽,[yi1 yan2 nan2 jin4],hard to explain in a few words (idiom); complicated and not easy to express succinctly
一语不发,[yi1 yu3 bu4 fa1],to not say a word (idiom)
一语中的,[yi1 yu3 zhong4 di4],to hit the mark with a comment (idiom)
一语破的,[yi1 yu3 po4 di4],see 一語中的|一语中的[yi1 yu3 zhong4 di4]
一语道破,[yi1 yu3 dao4 po4],one word says it all (idiom)
一语双关,[yi1 yu3 shuang1 guan1],to make a pun
一说,[yi1 shuo1],an expression of opinion
一诺千金,[yi1 nuo4 qian1 jin1],a promise worth one thousand in gold (idiom); a promise that must be kept
一贫如洗,[yi1 pin2 ru2 xi3],penniless
一贯,[yi1 guan4],consistent
一走了之,[yi1 zou3 liao3 zhi1],to avoid a problem by walking away from it
一起,[yi1 qi3],in the same place
一路,[yi1 lu4],the whole journey
一路来,[yi1 lu4 lai2],all the way
一路平安,[yi1 lu4 ping2 an1],to have a pleasant journey
一路顺风,[yi1 lu4 shun4 feng1],to have a pleasant journey (idiom)
一路风尘,[yi1 lu4 feng1 chen2],to live an exhausting journey
一蹴即至,[yi1 cu4 ji2 zhi4],to get there in one step (idiom); easily done
一蹴可几,[yi1 cu4 ke3 ji3],to succeed at the first try (idiom)
一蹴而就,[yi1 cu4 er2 jiu4],to get there in one step (idiom); easily done
一蹴而得,[yi1 cu4 er2 de2],to get there in one step (idiom); easily done
一蹶不振,[yi1 jue2 bu4 zhen4],one stumble, unable to rise (idiom); a setback leading to total collapse
一跃而起,[yi1 yue4 er2 qi3],to jump up suddenly
一身,[yi1 shen1],whole body
一身两役,[yi1 shen1 liang3 yi4],one person taking on two tasks simultaneously
一身是胆,[yi1 shen1 shi4 dan3],devoid of fear (idiom)
一身汗,[yi1 shen1 han4],sweating all over
一较高下,[yi1 jiao4 gao1 xia4],to compete against
一辈子,[yi1 bei4 zi5],(for) a lifetime
一轮,[yi1 lun2],first round or stage (of a match, election, talks, planned policy etc)
一转眼,[yi1 zhuan3 yan3],in a wink
一辞莫赞,[yi1 ci2 mo4 zan4],left speechless by sth perfect (idiom)
一退六二五,[yi1 tui4 liu4 er4 wu3],lit. 1 divided by 16 is 0.0625 (abacus rule)
一通百通,[yi1 tong1 bai3 tong1],grasp this fundamental point and all the rest will follow (idiom)
一逞兽欲,[yi1 cheng3 shou4 yu4],to give way to one's beastly lust
一连,[yi1 lian2],in a row
一连串,[yi1 lian2 chuan4],a succession of
一遍,[yi1 bian4],one time (all the way through)
一遍又一遍,[yi1 bian4 you4 yi1 bian4],over and over
一过性,[yi1 guo4 xing4],transient
一道,[yi1 dao4],together
一递一个,[yi1 di4 yi1 ge4],one after another
一递一声,[yi1 di4 yi1 sheng1],(of singers etc) one answering the other
一边,[yi1 bian1],one side
一边倒,[yi1 bian1 dao3],to have the advantage overwhelmingly on one side
一部二十四史，不知从何说起,[yi1 bu4 er4 shi2 si4 shi3 , bu4 zhi1 cong2 he2 shuo1 qi3],It's a long and intricate story, I hardly know where to start.
一部分,[yi1 bu4 fen5],portion
一醉方休,[yi1 zui4 fang1 xiu1],to get thoroughly drunk (idiom)
一针见血,[yi1 zhen1 jian4 xie3],lit. to draw blood on the first prick (idiom)
一锤子买卖,[yi1 chui2 zi5 mai3 mai4],a one-off, short-sighted deal
一锤定音,[yi1 chui2 ding4 yin1],lit. to fix the tone with a single hammer blow
一钱不值,[yi1 qian2 bu4 zhi2],not worth a penny
一钱如命,[yi1 qian2 ru2 ming4],stingy
一错再错,[yi1 cuo4 zai4 cuo4],to repeat errors
一锅端,[yi1 guo1 duan1],see 連鍋端|连锅端 [lian2 guo1 duan1]
一锅粥,[yi1 guo1 zhou1],(lit.) a pot of porridge
一门心思,[yi1 men2 xin1 si5],to set one's heart on sth (idiom)
一闪念,[yi1 shan3 nian4],sudden idea
一闪而过,[yi1 shan3 er2 guo4],to flash past
一阵,[yi1 zhen4],a burst
一阵子,[yi1 zhen4 zi5],a while
一雨成秋,[yi1 yu3 cheng2 qiu1],a sudden shower towards the end of summer brings an abrupt arrival of autumn (idiom)
一霎,[yi1 sha4],in a flash
一霎时,[yi1 sha4 shi2],in an instant
一霎眼,[yi1 sha4 yan3],suddenly
一霎间,[yi1 sha4 jian1],in a flash
一灵真性,[yi1 ling2 zhen1 xing4],soul
一面,[yi1 mian4],one side
一面之交,[yi1 mian4 zhi1 jiao1],to have met once
一面之词,[yi1 mian4 zhi1 ci2],one side of the story
一面倒,[yi1 mian4 dao3],to be entirely on one side
一项一项地,[yi1 xiang4 yi1 xiang4 de5],one by one
一头,[yi1 tou2],one head
一头栽进,[yi1 tou2 zai1 jin4],to plunge into
一头雾水,[yi1 tou2 wu4 shui3],to be confused
一颗老鼠屎坏了一锅汤,[yi1 ke1 lao3 shu3 shi3 huai4 le5 yi1 guo1 tang1],lit. a piece of rat feces spoiled the whole pot of soup (idiom)
一颗老鼠屎坏了一锅粥,[yi1 ke1 lao3 shu3 shi3 huai4 le5 yi1 guo1 zhou1],see 一粒老鼠屎壞了一鍋粥|一粒老鼠屎坏了一锅粥[yi1 li4 lao3 shu3 shi3 huai4 le5 yi1 guo1 zhou1]
一类,[yi1 lei4],same type
一类保护动物,[yi1 lei4 bao3 hu4 dong4 wu4],class A protected animal
一颦一笑,[yi1 pin2 yi1 xiao4],every frown and every smile
一饮而尽,[yi1 yin3 er2 jin4],to drain the cup in one gulp (idiom)
一饱眼福,[yi1 bao3 yan3 fu2],to feast one's eyes on (idiom)
一马平川,[yi1 ma3 ping2 chuan1],flat land one could gallop straight across (idiom); wide expanse of flat country
一马当先,[yi1 ma3 dang1 xian1],to take the lead
一惊一乍,[yi1 jing1 yi1 zha4],frightened
一体,[yi1 ti3],an integral whole
一体两面,[yi1 ti3 liang3 mian4],lit. one body two sides (idiom)
一体化,[yi1 ti3 hua4],integration
一哄而散,[yi1 hong4 er2 san4],see 一哄而散[yi1 hong1 er2 san4]
一鳞半爪,[yi1 lin2 ban4 zhua3],lit. one scale and half a claw (idiom); only odd bits and pieces
一鸣惊人,[yi1 ming2 jing1 ren2],to amaze the world with a single brilliant feat (idiom); an overnight celebrity
一黑早,[yi1 hei1 zao3],at dawn
一点,[yi1 dian3],a bit
一点一滴,[yi1 dian3 yi1 di1],bit by bit
一点一点,[yi1 dian3 yi1 dian3],little by little
一点不,[yi1 dian3 bu4],not at all
一点儿,[yi1 dian3 r5],erhua variant of 一點|一点[yi1 dian3]
一点就通,[yi1 dian3 jiu4 tong1],a hint is all that is needed
一点水一个泡,[yi1 dian3 shui3 yi1 ge4 pao4],honest and trustworthy (idiom)
一点邻域,[yi1 dian3 lin2 yu4],(math.) neighborhood of a point
一点点,[yi1 dian3 dian3],a little bit
一党,[yi1 dang3],one-party (state)
一党专制,[yi1 dang3 zhuan1 zhi4],one party dictatorship
一鼓作气,[yi1 gu3 zuo4 qi4],in a spurt of energy
一鼻孔出气,[yi1 bi2 kong3 chu1 qi4],lit. to breathe through the same nostril (idiom); fig. two people say exactly the same thing (usually derog.)
一齐,[yi1 qi2],at the same time
丁,[Ding1],surname Ding
丁,[ding1],fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
丁丁,[Ding1 ding1],Tintin, cartoon character
丁丁,[zheng1 zheng1],sound of chopping wood, chess pieces hitting the board etc
丁丁炒面,[ding1 ding1 chao3 mian4],chopped fried noodles
丁丑,[ding1 chou3],fourteenth year D2 of the 60 year cycle, e.g. 1997 or 2057
丁二烯,[ding1 er4 xi1],butadiene C4H6
丁二醇,[ding1 er4 chun2],butyl glycol
丁亥,[ding1 hai4],twenty fourth year D12 of the 60 year cycle, e.g. 2007 or 2067
丁克,[ding1 ke4],Dual Income, No Kids (DINK) (loanword)
丁内酯,[ding1 nei4 zhi3],butyrolactone
丁冬,[ding1 dong1],(onom.) ding dong
丁加奴,[Ding1 jia1 nu2],Terengganu, northeast state of mainland Malaysia
丁卯,[ding1 mao3],fourth year D4 of the 60 year cycle, e.g. 1987 or 2047
丁卯战争,[Ding1 mao3 Zhan4 zheng1],first Manchu invasion of Korea (1627)
丁卯胡乱,[Ding1 mao3 Hu2 luan4],first Manchu invasion of Korea (1627)
丁型肝炎,[ding1 xing2 gan1 yan2],hepatitis D
丁基,[Ding1 Ji1],Ding Ji (1917-1944), real name Li Baicen 李百岑, journalist based in Yanan, martyr of the revolution
丁基,[ding1 ji1],butyl group (chemistry)
丁字,[ding1 zi4],T-shaped
丁字尺,[ding1 zi4 chi3],T-square
丁字梁,[ding1 zi4 liang2],T-girder
丁字步,[ding1 zi4 bu4],T-step (basic dance position, with the feet forming a T shape)
丁字街,[ding1 zi4 jie1],T-junction
丁字裤,[ding1 zi4 ku4],thong (underwear)
丁字镐,[ding1 zi4 gao3],hammer pick
丁客,[ding1 ke4],see 丁克[ding1 ke4]
丁宁,[ding1 ning2],variant of 叮嚀|叮咛[ding1 ning2]
丁宠家庭,[ding1 chong3 jia1 ting2],double income family who have pets rather than children (see also 丁克[ding1 ke4])
丁巳,[ding1 si4],fifty fourth year D6 of the 60 year cycle, e.g. 1977 or 2037
